tweet_id,user_id,created_at,text,url,mentions,lang,favorites,retweets,replies,quotes,view_count,hashtags
1818014724308730249,1317910331432239106,Mon Jul 29 20:04:22 +0000 2024,You can actually use piggyvest safelock your funds amp also save with people.,,,en,0,0,0,0,5,
1812540104956649953,3148348920,Sun Jul 14 17:30:11 +0000 2024,Piggyvest go think say I don die.,,,en,4,1,2,1,526,
1818001200572219769,1216752662064115712,Mon Jul 29 19:10:37 +0000 2024,Piggyvest go don taya for me As I Dey save I Dey save myself ,,,en,0,0,0,1,56,
1816507498268160137,1351253574878191618,Thu Jul 25 16:15:11 +0000 2024,Women would have 1 million sitting in their piggyvest and be begging you for 10k.,,,en,283,122,40,1,8651,
1817999186677150196,1000705081304633345,Mon Jul 29 19:02:37 +0000 2024,One of my biggest pet peeves on here is seeing people harass PiggyVest for locked funds. You locked it yourself for a certain period. Why are you dragging them now that you need quick cash Safe lock no,,,en,0,0,0,0,33,
1817894945216168120,608212695,Mon Jul 29 12:08:24 +0000 2024,Why I prefer Piggyvest as my savings an investment app,https://t.co/kxk6HBocJg,,en,0,0,0,0,61,
1817998753850151280,1211194544,Mon Jul 29 19:00:54 +0000 2024,Open your Piggyvest my dear.,,,en,0,0,0,0,83,
1817173553915003258,1772309834676711424,Sat Jul 27 12:21:51 +0000 2024,"The way I wan save like werey till year end ehn, I go just dey broke make PiggyVest Dey chop.",https://t.co/0Kr2aNgFRm,@PiggyBankNG,en,247,3,2,0,30451,
1807724245427929237,115628224,Mon Jul 01 10:33:40 +0000 2024,"Two emails stand out in the Vantage Book. One from Mr Kayode Soyombo to the founders of Bluechip Technologies and and the other email from Otunba Sho to the founders of Piggyvest Somto, Joshua and co. Both emails, just 2.5 years apart, served the same purpose the place of mentorship in building the future. The emails could have been written by the same person really. Same energy. Those who have been set straight must pay it forward by helping to shape the future. Vantage is available at and on Amazon. PS If you are building in Nigeria or looking to build and you dont read Vantage, I dont consider you a serious builder. You fit just go do brikila dey mount blocks literally.",,@OtunbaSho1 @KazTewogbade @OdunEweniyi @Rovingheights,en,7,2,1,0,4094,
1809554518159294894,1227516763,Sat Jul 06 11:46:31 +0000 2024,Piggyvest i need you people to be serious with your dollar rate ,,,en,0,0,0,0,123,
1808140919633330672,466656280,Tue Jul 02 14:09:23 +0000 2024,"This new PiggyVest interest rate is sweet oh, saw the alert and I was very shocked. Thank you ",,@PiggyBankNG,en,111,8,3,0,7773,
1807716025636388865,3108236619,Mon Jul 01 10:01:00 +0000 2024, Piggyvest is so tsundere and I love it.,https://t.co/LYZFMsvpLL,,en,6,0,0,0,836,
