display_name,username,user_description,user_id,followers_count,favourites_count,avatar,is_verified,following_count
TunmiseAJ,OluwaTunmise,Politics | Arsenal | Economics,234242735,2307,1975,https://pbs.twimg.com/profile_images/1787427028649508864/OuwYbS0b_normal.jpg,False,937
PiggyBankNG,PiggyVest,"Save, Invest and Grow your money with ease. Earn 8-17% on savings and up to 35% on investments. Download Piggyvest on iOS and Android. This is our ONLY page! ⚠️",4714760909,200239,7559,https://pbs.twimg.com/profile_images/1742154486989099010/Sc4jRFll_normal.jpg,False,21
iamvinicius_snr,Snr🧸,"Engr., Real, Halamarid🤍, Music. Dm for business 💼.",1351253574878191618,53854,284713,https://pbs.twimg.com/profile_images/1558907751191007232/QK3wBaf9_normal.jpg,False,3206
Thispresh,THE MARKETING GUY,I help brands & individuals show appreciation & manage relationships through the use of CorporateGifts& CustomPrints. PBD/0494,858915738,12236,3446,https://pbs.twimg.com/profile_images/1635388655689773058/yNEPF1WJ_normal.jpg,False,10731
Fel_Steve,Savage Gentleman,Jobber for @houseoffelsteve @stoffabyfs @felstevewomen @debayusnigltd_ @thefelstevecare 📧:ceo@houseoffelsteve.com | Horror | Football | Deism,271100891,16042,3613,https://pbs.twimg.com/profile_images/1806673443829469184/aRvdlU7a_normal.jpg,False,4623
Pearl_Oladipo,pre-rich dr. agbalagbi,16-7-24🤍,1294469250468413442,2181,560184,https://pbs.twimg.com/profile_images/1813160163949338625/Z30p92xR_normal.jpg,False,2494
Adeye_Son1,Olawale,,2147536810,633,16676,https://pbs.twimg.com/profile_images/1770838048055369728/-cRcdg0F_normal.jpg,False,1830
Nftgoddess01,Precious Andrew,Web3 Enthusiast|Black-skin goddess|Content creator| Cyber security officer| Social media manager.,1491342921408430081,348,371,https://pbs.twimg.com/profile_images/1747942913856638976/HPa_HK8R_normal.jpg,False,308
Shizuo85,Anthony𓃵,Nodejs Developer | Scrabbler | I buy and sell digital currencies in all quantities,3586082896,352,24917,https://pbs.twimg.com/profile_images/1753811678871851008/uxk-U3Oc_normal.jpg,False,165
UnusualStanlee,Buchi,"I share my thoughts on politics, football, music, and life in general..also... i love African soups. Not the person on my avi.",1150907500385984512,9744,207745,https://pbs.twimg.com/profile_images/1391159985661489159/DkEYuJsU_normal.jpg,False,5506
MoryamOlapade,BabyGirl Photographer(TikhorsBrand),"Muslim. Multimedia Journalist. Photographer. Entrepreneur.

Facilitator and Partner @ShuttHers_  Foundation.",1167689157935804422,2487,11019,https://pbs.twimg.com/profile_images/1786680074684510208/-Tsq9XHw_normal.jpg,False,2197
IbrahimHorlanr1,Horlanrewaju❤,An introvert 🤘❤......I'm an over thinker 🙂… Biggest Fan of @temsbaby,1241839139210829824,3306,53116,https://pbs.twimg.com/profile_images/1726375879146639360/RdpGzXQF_normal.jpg,False,4260
jbmillenial,Matt🍫,I post relatable contents || Fashion enthusiast • Tech • Lifestyle • Finance • Creative • Duolingo dropout,763495513505275905,2842,67514,https://pbs.twimg.com/profile_images/1815695993318391808/qNsqd7fR_normal.jpg,False,2573
Chief_Papichulo,Sad Papichulo. 😢,"An atheist?/ Free Thinker, Deep Thinker/ Arsenal FC/ Roman Reigns/ Business Developer/ “Jesus never paid tithes, don’t pay it to any Pastor”/ RIP-Covenant. 🕊️",1482009721368457225,7515,38261,https://pbs.twimg.com/profile_images/1804411345728659457/5G8AE7Li_normal.jpg,False,6096
Bawahala_1,Bawahala,Simple guy with no problems. Bawahala,1482090972657893377,373,34361,https://pbs.twimg.com/profile_images/1806834601815404544/WrpPxwAY_normal.jpg,False,848
